        0:0         TID   1 CPU  18(1) created
        0:0         TID   1 CPU  18(1) created
        0:0         TID   1 CPU  18(1) created
fiosExecucao =1 Intervalo=99
: tempo -> 44997.5 usecs
        0:0         TID   1 CPU  18(1) created
        0:0         TID   1 CPU  18(1) created
        0:0         TID   1 CPU  18(1) created
       50:1465569414160 TID   1 sleeping on 'cond var'
       50:1465569414160 TID   1 CPU  18(1) preempted
       59:1465569414169 TID   1 CPU  18(1) restarted on the same CPU
       59:1465569414169 TID   1 sleeping on 'cond var'
       59:1465569414169 TID   1 CPU  18(1) preempted
       59:1465569414169 TID   1 CPU  18(1) restarted on the same CPU
       59:1465569414169 TID   1 sleeping on 'shuttle'
       59:1465569414169 TID   1 CPU  18(1) preempted
       59:1465569414169 TID   1 CPU  18(1) restarted on the same CPU
       59:1465569414169 TID   1 sleeping on 'shuttle'
       59:1465569414169 TID   1 CPU  18(1) preempted
       59:1465569414169 TID   1 CPU  18(1) restarted on the same CPU

