        0:0         TID   1 CPU   2(1) created
        0:0         TID   1 CPU   2(1) created
fiosExecucao =2 Intervalo=99
: tempo -> 37991 usecs
        0:0         TID   2 CPU   1(1) created
        0:1465569483800 TID   2 sleeping on 'cond var'
        0:0         TID   1 CPU   2(1) created
        0:0         TID   1 CPU   2(1) created
        0:0         TID   1 CPU   2(1) created
        0:0         TID   1 CPU   2(1) created
        0:1465569483800 TID   1 sleeping on 'cond var'
        0:0         TID   1 CPU   2(1) created
       39:1465569483839 TID   1 sleeping on 'cond var'
       39:1465569483839 TID   1 CPU   2(1) preempted
       39:1465569483839 TID   1 CPU   2(1) restarted on the same CPU
       39:1465569483839 TID   1 sleeping on 'cond var'
       39:1465569483839 TID   1 CPU   2(1) preempted
       39:1465569483839 TID   1 CPU   2(1) restarted on the same CPU
       39:1465569483839 TID   1 sleeping on 'cond var'
       39:1465569483839 TID   1 CPU   2(1) preempted
       39:1465569483839 TID   1 CPU   2(1) restarted on the same CPU
       39:1465569483839 TID   1 sleeping on 'shuttle'
       39:1465569483839 TID   1 CPU   2(1) preempted
       39:1465569483839 TID   1 CPU   2(1) restarted on the same CPU
       39:1465569483839 TID   1 sleeping on 'shuttle'
       39:1465569483839 TID   1 CPU   2(1) preempted
       39:1465569483839 TID   1 CPU   2(1) restarted on the same CPU
       39:1465569483839 TID   1 sleeping on 'cond var'
       39:1465569483839 TID   1 CPU   2(1) preempted
       39:1465569483839 TID   1 CPU   2(1) restarted on the same CPU
        0:0         TID   2 CPU   7(1) created
       39:1465569483839 TID   2 sleeping on 'cond var'
       39:1465569483839 TID   2 CPU   7(1) preempted
       39:1465569483839 TID   2 CPU   7(1) restarted on the same CPU
       39:1465569483839 TID   2 sleeping on 'cond var'
       39:1465569483839 TID   2 CPU   7(1) preempted
       39:1465569483839 TID   2 CPU   7(1) restarted on the same CPU

