        0:0         TID   1 CPU  26(2) created
        0:0         TID   1 CPU  26(2) created
        0:0         TID   1 CPU  26(2) created
        0:0         TID   1 CPU  26(2) created
        0:0         TID   1 CPU  26(2) created
        0:0         TID   1 CPU  26(2) created
fiosExecucao =1 Intervalo=99
: tempo -> 27619.6 usecs
       30:1465569342560 TID   1 sleeping on 'cond var'
       30:1465569342560 TID   1 CPU  26(2) preempted
       40:1465569342570 TID   1 CPU  26(2) restarted on the same CPU
       40:1465569342570 TID   1 sleeping on 'cond var'
       40:1465569342570 TID   1 CPU  26(2) preempted
       40:1465569342570 TID   1 CPU  26(2) restarted on the same CPU
       40:1465569342570 TID   1 sleeping on 'shuttle'
       40:1465569342570 TID   1 CPU  26(2) preempted
       40:1465569342570 TID   1 CPU  26(2) restarted on the same CPU
       40:1465569342570 TID   1 sleeping on 'shuttle'
       40:1465569342570 TID   1 CPU  26(2) preempted
       40:1465569342570 TID   1 CPU  26(2) restarted on the same CPU

