        0:0         TID   1 CPU  29(2) created
        0:0         TID   1 CPU  29(2) created
        0:0         TID   1 CPU  29(2) created
        0:0         TID   1 CPU  29(2) created
        0:0         TID   1 CPU  29(2) created
        0:0         TID   1 CPU  29(2) created
fiosExecucao =1 Intervalo=99
: tempo -> 58249.6 usecs
       59:1465569406880 TID   1 sleeping on 'cond var'
       59:1465569406880 TID   1 CPU  29(2) preempted
       59:1465569406880 TID   1 CPU  29(2) restarted on the same CPU
       59:1465569406880 TID   1 sleeping on 'cond var'
       59:1465569406880 TID   1 CPU  29(2) preempted
       59:1465569406880 TID   1 CPU  29(2) restarted on the same CPU
       59:1465569406880 TID   1 sleeping on 'shuttle'
       59:1465569406880 TID   1 CPU  29(2) preempted
       69:1465569406890 TID   1 CPU  29(2) restarted on the same CPU
       69:1465569406890 TID   1 sleeping on 'shuttle'
       69:1465569406890 TID   1 CPU  29(2) preempted
       69:1465569406890 TID   1 CPU  29(2) restarted on the same CPU

