        0:0         TID   1 CPU  16(1) created
        0:0         TID   1 CPU  16(1) created
        0:0         TID   1 CPU  16(1) created
        0:0         TID   1 CPU  16(1) created
fiosExecucao =2 Intervalo=99
: tempo -> 187942 usecs
      189:1465569424589 TID   2  from-CPU 13(2) to-cpu 11(2) CPU migration
      189:1465569424589 TID   2 CPU  11(2) restarted on the same CPU
      189:1465569424589 TID   2 sleeping on 'cond var'
      189:1465569424589 TID   2 CPU  11(2) preempted
      199:1465569424599 TID   2 CPU  11(2) restarted on the same CPU
       10:0         TID   2 CPU  13(2) created
       10:1465569424410 TID   2 CPU  13(2) restarted on the same CPU
       10:1465569424410 TID   2 sleeping on 'cond var'
       10:1465569424410 TID   2 CPU  13(2) preempted
       10:1465569424410 TID   2 CPU  13(2) restarted on the same CPU
      189:1465569424589 TID   2 sleeping on 'cond var'
      189:1465569424589 TID   2 CPU  13(2) preempted
        0:0         TID   1 CPU  16(1) created
        0:0         TID   1 CPU  16(1) created
       10:1465569424410 TID   1 sleeping on 'cond var'
       10:1465569424410 TID   1 CPU  16(1) preempted
       10:1465569424410 TID   1 CPU  16(1) restarted on the same CPU
      189:1465569424589 TID   1 sleeping on 'cond var'
      189:1465569424589 TID   1 CPU  16(1) preempted
      189:1465569424589 TID   1 CPU  16(1) restarted on the same CPU
      189:1465569424589 TID   1 sleeping on 'cond var'
      189:1465569424589 TID   1 CPU  16(1) preempted
      199:1465569424599 TID   1 CPU  16(1) restarted on the same CPU
      199:1465569424599 TID   1 sleeping on 'cond var'
      199:1465569424599 TID   1 CPU  16(1) preempted
      199:1465569424599 TID   1 CPU  16(1) restarted on the same CPU
      199:1465569424599 TID   1 sleeping on 'shuttle'
      199:1465569424599 TID   1 CPU  16(1) preempted
      199:1465569424599 TID   1 CPU  16(1) restarted on the same CPU
      199:1465569424599 TID   1 sleeping on 'shuttle'
      199:1465569424599 TID   1 CPU  16(1) preempted
      199:1465569424599 TID   1 CPU  16(1) restarted on the same CPU
      199:1465569424599 TID   1 sleeping on 'cond var'
      199:1465569424599 TID   1 CPU  16(1) preempted
      199:1465569424599 TID   1 CPU  16(1) restarted on the same CPU

