        0:0         TID   1 CPU  27(2) created
        0:0         TID   1 CPU  27(2) created
        0:0         TID   1 CPU  27(2) created
        0:0         TID   1 CPU  27(2) created
        0:0         TID   1 CPU  27(2) created
        0:0         TID   1 CPU  27(2) created
fiosExecucao =1 Intervalo=99
: tempo -> 26684.8 usecs
       29:1465569477669 TID   1 sleeping on 'cond var'
       29:1465569477669 TID   1 CPU  27(2) preempted
       29:1465569477669 TID   1 CPU  27(2) restarted on the same CPU
       29:1465569477669 TID   1 sleeping on 'cond var'
       29:1465569477669 TID   1 CPU  27(2) preempted
       29:1465569477669 TID   1 CPU  27(2) restarted on the same CPU
       29:1465569477669 TID   1 sleeping on 'shuttle'
       29:1465569477669 TID   1 CPU  27(2) preempted
       29:1465569477669 TID   1 CPU  27(2) restarted on the same CPU
       29:1465569477669 TID   1 sleeping on 'shuttle'
       29:1465569477669 TID   1 CPU  27(2) preempted
       29:1465569477669 TID   1 CPU  27(2) restarted on the same CPU

