        0:0         TID   1 CPU  29(2) created
        0:0         TID   1 CPU  29(2) created
        0:0         TID   1 CPU  29(2) created
        0:0         TID   1 CPU  29(2) created
        0:0         TID   1 CPU  29(2) created
        0:0         TID   1 CPU  29(2) created
fiosExecucao =1 Intervalo=99
: tempo -> 27897.6 usecs
       39:1465569340770 TID   1 sleeping on 'cond var'
       39:1465569340770 TID   1 CPU  29(2) preempted
       39:1465569340770 TID   1 CPU  29(2) restarted on the same CPU
       39:1465569340770 TID   1 sleeping on 'cond var'
       39:1465569340770 TID   1 CPU  29(2) preempted
       39:1465569340770 TID   1 CPU  29(2) restarted on the same CPU
       39:1465569340770 TID   1 sleeping on 'shuttle'
       39:1465569340770 TID   1 CPU  29(2) preempted
       39:1465569340770 TID   1 CPU  29(2) restarted on the same CPU
       39:1465569340770 TID   1 sleeping on 'shuttle'
       39:1465569340770 TID   1 CPU  29(2) preempted
       39:1465569340770 TID   1 CPU  29(2) restarted on the same CPU

