        0:0         TID   1 CPU  22(1) created
        0:0         TID   1 CPU  22(1) created
        0:0         TID   1 CPU  22(1) created
        0:0         TID   1 CPU  22(1) created
        0:0         TID   1 CPU  22(1) created
        0:0         TID   1 CPU  22(1) created
fiosExecucao =2 Intervalo=99
: tempo -> 54046.4 usecs
        9:1465569355960 TID   1 sleeping on 'cond var'
        9:1465569355960 TID   1 CPU  22(1) preempted
        9:1465569355960 TID   1 CPU  22(1) restarted on the same CPU
       59:1465569356009 TID   1 sleeping on 'cond var'
       59:1465569356009 TID   1 CPU  22(1) preempted
       59:1465569356009 TID   1 CPU  22(1) restarted on the same CPU
       59:1465569356009 TID   1 sleeping on 'cond var'
       59:1465569356009 TID   1 CPU  22(1) preempted
       59:1465569356009 TID   1 CPU  22(1) restarted on the same CPU
       59:1465569356009 TID   1 sleeping on 'cond var'
       59:1465569356009 TID   1 CPU  22(1) preempted
       59:1465569356009 TID   1 CPU  22(1) restarted on the same CPU
       59:1465569356009 TID   1 sleeping on 'shuttle'
       59:1465569356009 TID   1 CPU  22(1) preempted
       59:1465569356009 TID   1 CPU  22(1) restarted on the same CPU
       59:1465569356009 TID   1 sleeping on 'shuttle'
       59:1465569356009 TID   1 CPU  22(1) preempted
       59:1465569356009 TID   1 CPU  22(1) restarted on the same CPU
       59:1465569356009 TID   1 sleeping on 'cond var'
       59:1465569356009 TID   1 CPU  22(1) preempted
       59:1465569356009 TID   1 CPU  22(1) restarted on the same CPU
        9:0         TID   2 CPU  27(2) created
        9:1465569355960 TID   2 CPU  27(2) restarted on the same CPU
        9:1465569355960 TID   2 sleeping on 'cond var'
        9:1465569355960 TID   2 CPU  27(2) preempted
        9:1465569355960 TID   2 CPU  27(2) restarted on the same CPU
       50:1465569356000 TID   2 sleeping on 'cond var'
       50:1465569356000 TID   2 CPU  27(2) preempted
       59:1465569356009 TID   2 CPU  27(2) restarted on the same CPU
       59:1465569356009 TID   2 sleeping on 'cond var'
       59:1465569356009 TID   2 CPU  27(2) preempted
       59:1465569356009 TID   2 CPU  27(2) restarted on the same CPU

